Type,, Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label,Type
0,542146,19740,82,1,2,6,12,6,6,6.0,0.0,6,6,6.0,0.0,219512.1951,36585.36585,41.0,11.3137085,49,33,0,0.0,0.0,0,0,49,49.0,0.0,49,49,0,0,0,0,20,40,12195.12195,24390.2439,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,2,8.0,6.0,6.0,20,0,0,0,0,0,0,1,6,2,12,245,250,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,597337,53,48437,4,2,124,202,31,31,31.0,0.0,101,101,101.0,0.0,6730.392056,123.8722464,9687.4,14095.08972,30971,3,30978,10326.0,17879.09447,30971,3,3,3.0,0.0,3,3,0,0,0,0,104,64,82.58149762,41.29074881,31,101,51.0,34.15650255,1166.666667,0,0,0,0,0,0,0,0,0,59.5,31.0,101.0,104,0,0,0,0,0,0,4,124,2,202,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,502294,53,163032,4,2,156,196,39,39,39.0,0.0,98,98,98.0,0.0,2159.085333,36.8025909,32606.4,46265.77762,98767,1,64262,21420.66667,37057.5238,64211,1,3,3.0,0.0,3,3,0,0,0,0,144,64,24.5350606,12.2675303,39,98,55.85714286,28.78905215,828.8095238,0,0,0,0,0,0,0,0,0,65.16666667,39.0,98.0,144,0,0,0,0,0,0,4,156,2,196,-1,-1,3,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,51620,53,193,2,2,62,228,31,31,31.0,0.0,114,114,114.0,0.0,1502590.674,20725.3886,64.33333333,107.1089788,188,1,1,1.0,0.0,1,1,4,4.0,0.0,4,4,0,0,0,0,80,80,10362.6943,10362.6943,31,114,64.2,45.46097227,2066.7,0,0,0,0,0,0,0,0,1,80.25,31.0,114.0,80,0,0,0,0,0,0,2,62,2,228,-1,-1,1,40,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,417371,80,132794,3,4,433,2279,427,0,144.3333333,244.8148961,2267,0,569.75,1131.503535,20422.60946,52.713225,22132.33333,28776.63717,73516,3,102414,51207.0,31549.69036,73516,28898,103899,34633.0,58750.13759,102467,16,0,0,0,0,72,92,22.59138214,30.12184285,0,2267,339.0,793.0373798,628908.2857,0,0,0,1,0,0,0,0,1,387.4285714,144.3333333,569.75,72,0,0,0,0,0,0,3,433,4,2279,8192,237,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,590940,53,184,2,2,78,358,39,39,39.0,0.0,179,179,179.0,0.0,2369565.217,21739.13043,61.33333333,65.37838583,132,3,3,3.0,0.0,3,3,49,49.0,0.0,49,49,0,0,0,0,40,40,10869.56522,10869.56522,39,179,95.0,76.68115805,5880.0,0,0,0,0,0,0,0,0,1,118.75,39.0,179.0,40,0,0,0,0,0,0,2,78,2,358,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,475669,80,22208,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,540.3458213,90.05763689,22208.0,0.0,22208,22208,22208,22208.0,0.0,22208,22208,0,0.0,0.0,0,0,0,0,0,0,40,0,90.05763689,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,253,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,569140,53,349,2,2,102,224,51,51,51.0,0.0,112,112,112.0,0.0,934097.4212,11461.31805,116.3333333,160.0041666,299,1,49,49.0,0.0,49,49,1,1.0,0.0,1,1,0,0,0,0,52,40,5730.659026,5730.659026,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51.0,112.0,52,0,0,0,0,0,0,2,102,2,224,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,542389,53,114659,2,2,76,474,38,38,38.0,0.0,237,237,237.0,0.0,4796.832346,34.88605343,38219.66667,66192.34234,114652,3,3,3.0,0.0,3,3,4,4.0,0.0,4,4,0,0,0,0,64,64,17.44302671,17.44302671,38,237,117.6,108.9967889,11880.3,0,0,0,0,0,0,0,0,1,147.0,38.0,237.0,64,0,0,0,0,0,0,2,76,2,474,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN,0
0,49012,80,118659392,23,17,3146,2316,667,0,136.7826087,255.5254758,547,0,136.2352941,214.7206119,46.03091174,0.337099317,3042548.513,4472149.485,10100000,127,119000000,5393608.727,4882033.431,10100000,53974,115000000,7168812.313,4528407.982,10100000,148098,0,0,0,0,472,352,0.193832107,0.14326721,0,667,133.2195122,234.111353,54808.12561,0,0,0,1,0,0,0,0,0,136.55,136.7826087,136.2352941,472,0,0,0,0,0,0,23,3146,17,2316,8192,1024,22,20,424862.4545,1099973.063,3741406,93047,10000000.0,37379.33101,10100000,9900606,BENIGN,0
